SUBJECT	MON	YEAR	PAGE	LOCATION	TYPE	MEMO
Centenary - Baptist Union of Qld	10	1977	1		100th Assembly successful	
Stone, Rev. F.J.C. - President	10	1977	1		feature and photo	
Morcom, Rev. G.	10	1977	2		Discovering our family - presidential	feature - photos
Wahroonga	10	1977	2		report	
McConaghy, Mr Bill	10	1977	3		appointed President elect	
Ordination	10	1977	3		C. Robertson, F. Hill, G. Davies, S.	Beames - photos of 'older men'
Centenary - Civic Service	10	1977	4		report and photo	
Centenary - women	10	1977	4		report and photo	
Baptist Union - office staff	10	1977	5		photo	
Dillion, Rev. John	10	1977	5		warning on evangelism	
Ministerial training	10	1977	6		report on changes	
Evangelistic crusades - Re-Entry	12	1977	1		report on planning by director - photo	Dr Bobby Sunderland of Southern Baptists USA
Community Service - Talera Lodge	12	1977	2	Greenslopes	6th children's home opened	photo
Gailies BC	12	1977	2		fellowship formed	
Grange BC	12	1977	2		N. Gaudry honorary pastor	
Bray, Rev. Keith	12	1977	3		to be Baptist Book Store manager	
Cairns BC	12	1977	3		farewell Rev. A. Wheat	
Grange BC	12	1977	3		Reg Jarrott evangelistic crusade	
Greenslopes BC	12	1977	3		57th anniversary	
Mackay BC	12	1977	3		evangelistic crusade with R. Jarrott	
Mail Bag Sunday School	12	1977	3		report	
Salisbury BC	12	1977	3		evangelistic crusade - R. Jarrott	F. Stallard - secretary - baptises 21 people
Stanthorpe BC	12	1977	3		missionary convention - new hall	
Annerley BC	12	1977	4		growth	
Banyo BC	12	1977	4		Bus ministry - photo	
Bayside BC	12	1977	4		new building - photo	
Moore, Mr R.K.	12	1977	4		leaves Baptist Theological College	for W. Australia
Baptist Union of Qld	12	1977	6		change in Home Ministries Dept admin	
Grange BC	12	1977	6		Sunday School 60th anniversary	
Majestic Park BC	12	1977	6		new church - photos	
Wavell Heights BC	12	1977	6		M.V. Steer inducted	
Nambour BC	12	1977	7		relocation and other developments	
Sunsetholme	12	1977	7	Normanby	report - photo L Knott, C.L. Miller	Matron Bucklet
Evangelistic crusade - simultaneous	12	1977	8		interview with Bobby Sunderland	
Church growth	12	1977	9		comments from S. Solomon in USA	
Grange BC	12	1977	10		youth ministry	
Innisfail BC	12	1977	10		relocation	
Kingaroy BC	12	1977	11		photo - bus	
Re-Entry Crusades	12	1977	11		Don Shephard coordinator - photo	
Wynnum BC	12	1977	11		mission with Rev. D.C. Jones	
Baptist Theological College	12	1977	13		graduation service	
Enoggera BC	12	1977	13		new church - photo	
Baptist Union of Qld	12	1977	14		budget shortfall	
Enoggera BC	12	1977	14		Brigade ministry	
Finance	12	1977	14		savings through Plan A bank scheme	
Rochedale BC	12	1977	14		photo of Summertime Soul Care	
Camp - Mt Tamborine	12	1977	15		official opening	
Inala BC	12	1977	15		report with Rev. P.C. Wolter	
Margate BC	12	1977	15		five year plan and growth	
Mundubbera BC	12	1977	15		growth	
Carothers, Harold	12	1977	16	City Tabernacle	obit	
Jones, Mr Les	12	1977	16	Rockhampton	obit	
Soden, Miss Gladys Irene Harrison	12	1977	16	Annerley	obit	
Watson, Mrs Doreen	12	1977	16	Nambour	obit	
Bowen	3	1978	1		outreach	
Re-Entry Crusades	3	1978	1		report - photo C. B. Kircus	
Bradley, Mr Stuart	3	1978	2		Vietnamese ministry - photo	
Southern Gold Coast BC	3	1978	2		new name for Palm Beach, Broadbeach	Tugun, Coolangatta
Beenleigh BC	3	1978	3		report on progress - camp, bus, hall	
Blackwater BC	3	1978	3		Sunday school Christmas witness	
Beenleigh BC	3	1978	4		deacons' dedication service	
Brett, E.C.	3	1978	4		concludes at Scarborough	
Downs and Lockyer Association	3	1978	4		meetings	
Jensen, Mrs Johanna	3	1978	4	Annerley	obit	
Maryborough BC	3	1978	4		Youth ministry - evangelism	
Reid, Mr John	3	1978	4	City Tabernacle BC	choir conductor	
South Toowoomba BC	3	1978	4		international choral service	
Stanthorpe BC	3	1978	4		church growth study at family camp	
Yates, Miss Jess	3	1978	4	Coolangatta BC	Honorary deacon	
Chapman, Mrs Amelia Ruby	3	1978	5	Greenslopes Holland Pk Torquay	obit	
Charters Towers BC	3	1978	5		bus ministry	
Mergard, Rev. N.W.	3	1978	5	South Brisbane Vulture St	concludes ministry - transfers to Cairns	
Baptist Theological College	3	1978	6		R. Bowie gives annual lecture on worship	
Community Service	3	1978	6		appointments to homes - D. Pennisi at	Kunara, B Walker Talera D Skennerton Sunsetholme
Camp - Mt Tamborine	3	1978	7		opening of convention centre	
Greenslopes BC	3	1978	7		Family day	
Ashgrove BC	3	1978	9		manse opened	
Christian Schools	3	1978	9		report	
Family outreach ministry	3	1978	9		P. de Plater in Qld for DYCE - photo	Baptist Union of Qld
Baptist Union of Qld	3	1978	10		budget problems	
City Tabernacle BC	3	1978	10		youth team to Noosaville BC	
Wavell Heights BC	3	1978	10		children's ministry	
Re-Entry Crusade	3	1978	11		photos - US preachers	
Time for God scheme	3	1978	11	Mundubbera BC	report and testimony of Chris Withers	
Baptist Union of Qld	3	1978	12		Rev. A.C. Prior speaks at Half-yearly	assembly, Yandina - photo
Baptist Union of Qld	6	1978	1		budget concern	
Family outreach ministry	6	1978	1		report	
McClune, Mr Joe	6	1978	1		photo -	
Re-Entry Crusades	6	1978	1		report	
Baptist Union of Qld - Convention	6	1978	3		Convention replaces half yearly Assembly	
McClune, Mr Joe	6	1978	3		paper on Office Administration	
Bartlett, Mr and Mrs J.	6	1978	4	Gordon Park	silver wedding	
City Tabernacle BC	6	1978	4		helps Bowen BC	
Greenslopes BC	6	1978	4		Queen's colours for Brigade	
Holmans, Rev and Mrs. W.	6	1978	4		Golden wedding	
Mundubbera BC	6	1978	4		constituted	
Qld Baptist Women's Fellowship	6	1978	4		surburban rally	
Wakeling, Rev. R.	6	1978	4		Silver wedding, 25 years in ministry	
Community Service	6	1978	5		progress in homes ministry	
Baptist Theological College	6	1978	6		photos of new students	
Re-Entry Crusades	6	1978	8		farewell to US evangelists and reports	
Beaudesert BC	6	1978	9		outreach	
Bradley, Pastor Stuart	6	1978	9	Upper Mt Gravatt	commissioning for Vietnamese work	
Evans, Mr and Mrs Bryan	6	1978	9		transferred to Bundaberg with Childrens'	Services
Mayers, Mrs Norma	6	1978	9	Stanthorpe	obit	
Stanthorpe BC	6	1978	9		Thanksgiving service	
Home Ministries	6	1978	11		rally	Baptist Union of Qld
Bowen BC	6	1978	12		report of earlier work in Bowen	
Drama	6	1978	12		BYF drama group	
Music - Scripture choruses	6	1978	12		Baptist Book store reports popularity of	Scripture choruses and use of The Hymnal
Baptist Union of Qld	9	1978	1		membership growth but financial limits	
Woodridge BC	9	1978	1		photo - house for church use	feature page 4
Baptist Theological College	9	1978	2		new faculty - S. Nickerson, D. Swincer	
Baptist Union of Qld	9	1978	2		Staff resign - S. Solomon, J. McClure	N.E. Weston
McConaghy, Mr W.	9	1978	3		portrait of a president - photo	
Stone, Rev. F.J.C. - President	9	1978	3		comments on presidential year	
Blackwater BC	9	1978	4		pastor needed	
Annerley BC	9	1978	5		113th anniversary and report	
Bowen BC	9	1978	5		P. de Plater visit	
Education	9	1978	5		select committee report	Baptist Union of Qld
McCloud, Mrs	9	1978	5		obit	
Munro, Miss Marita	9	1978	5		to be ordained in Victoria	formerly member of Annerley
New Settlers Assoc	9	1978	5		report	
Overend, Mr and Mrs Ray	9	1978	5	Clayfield	missionary service in PNG	
West, Miss Emmeline Caroline	9	1978	5	Annerley BC	obit	
Mail Bag Sunday School	9	1978	6		feature - photo - map	
Aged Care - Sunsetholme	9	1978	7		extensions opened	
Broadwater BC	9	1978	7		feature - growth	
Baptist Theological College	9	1978	8		photos of students	
Evangelism	9	1978	8		responses to Wayne Copelin meetings	
Chataway, Rev. V.F.	9	1978	9		appointed Home Ministries deputationist	
Gap BC	9	1978	9		church growth after attendance at	Win Arn seminar
Prison Chaplaincy	9	1978	9		feature on need for full time chaplain	
Enrichment course	9	1978	10		growth at Geebung and Keperra	
Grange BC	9	1978	10		Bill Newman evangelistic crusade report	and photo
Nundah BC	9	1978	10		goal setting	
Ethnic ministry - New Settlers Association	9	1978	12		report of ethnic ministry service	with Pastor C. Wilcox
Brighton BC	12	1978	0		23rd anniversary	
Walker, Mr Boyd	12	1978	0		obit - Talera Lodge housefather	Community Service
Baptist Union of Qld	12	1978	1		financial limits curtail ministries and	delay appointments
Stallard, Mr Fred	12	1978	1		photo - Chair of Board of Church Growth	
Hervey Bay BC	12	1978	2		Evangelistic crusade with Bill Newman	
Baptist Theological College	12	1978	3		75th anniversary plans	
Church growth	12	1978	3		Board of Church Growth with F. Stallard	Bowen Townsville Innisfail Maroochydore Kingaroy
Holland Park BC	12	1978	3		Pastoral team created R. Legge, K. Bray	photo
Salisbury, Miss Betty	12	1978	4		feature	
Jireh BC	12	1978	5		church closes - final service announced	
Chisholm, Rev. A.J.W.	12	1978	6		obit	
Woodridge BC	12	1978	8		report on ministry	
Baptist Theological College	12	1978	9		Department of Leadership Studies DLS	
Bundaberg BC	12	1978	10		Thanksgiving service	
Mackay BC	12	1978	10		20th anniversary	
Millbank	12	1978	10		services resumed	
Silkstone BC	12	1978	10		Jubilee	
Clifford House	2	1979	13		photo - tenders for extensions	
Mundubbera BC	3	1979	1		photos and report of historic weekend	
Reachout Crusade - Leighton Ford	3	1979	1		plans reported	
Aged care - Resthaven - Carey Court	3	1979	2		development	
Ashgrove BC	3	1979	2		conference on mission	
Cleveland BC	3	1979	3		growth reported	
Keperra BC	3	1979	3		new buildings	
Skinner, Rev. C.P.	3	1979	4		appointed to Talbot Theological Seminary	
Prison Chaplaincy	3	1979	5		Rev R.E. Euston heads Prisons Mission	Association of Qld - photo
Weston, Rev. N.E.	3	1979	5	Salisbury	inducted	
Talera Lodge - Community Service	3	1979	6		Bob Rudge appointed house parents	photo
Baptist Theological College	3	1979	7		75th anniversary	photo page 8 of S. Nickerson, D. Swincer
Beenleigh BC	3	1979	8		baptisms	
Bowen BC	3	1979	8		baptisms - multi-racial church	
Kalbar BC	3	1979	8		C. Ganter inducted	
Baptist Bible Convention	3	1979	9		1st convention to be held at Kalbar	
Westwood, Mr Col	3	1979	9		joins Ambassadors for Christ - photo	
Gerhardt, Jenny	3	1979	10		first Queen's Badge for Wide Bay Brigade	
Grange BC	3	1979	11		growth	
Sunday Schools	3	1979	11		growth reported	
Gollan, Mrs Nance	6	1979	1		appointed deputationist for Community	Services - photo
Tent Hill BC	6	1979	1		appoints its own pastor and manse	
New Settlers Conference	6	1979	2		Brisbane to host conference	
School of Ministry	6	1979	2		Queenslanders attend school at Blackburn	North BC, Melbourne
Baptist Theological College	6	1979	3		75th anniversary celebrations - photo	
Gympie BC	6	1979	4		baptism	
Re-Entry Crusade	6	1979	4		final report	
Simultaneous crusades	6	1979	4		Qld pastors to visit USA	
Ashgrove BC	6	1979	5		new pastor - A. Cossgrove	
Community Service	6	1979	5		feature - photo Rev. C. L. Miller	
Baptist Theological College	6	1979	6		Department of Leadership Studies	
Norton, Rev. A.P.	6	1979	6		50 years in ministry - photo	
Vietnamese ministry	6	1979	6		feature	
Wondai BC	6	1979	6		seniors ministry 10 years old	
Baptist Union of Qld	6	1979	7		discussions on new Union structure	
Dart, Dr J.L.	6	1979	7		obit	
Dart, Mr and Mrs O.M.	6	1979	7		Golden wedding	
Employment agency	6	1979	7		Baptist Union conducts mini-agency	
Kingaroy BC	6	1979	7		Legions of Donors assistance	
Varnes, Rev. F.H.	6	1979	7		50 years in ministry	
Gap BC	6	1979	8		building progress - photo	
Scarborough BC	6	1979	8		help needed	
Silkstone BC	6	1979	8		Jubilee	
Religious Education	6	1979	9		feature	
Robertson, Miss Marilyn	6	1979	9		missionary to CLTC, Papua New Guinea	photo
Silkstone BC	6	1979	9		Youth group hires bus for	Billy Graham evangelistic crusade
Banyo BC	6	1979	10		growth	
Carina BC	6	1979	10		Art classes as outreach	
Gailes BC	6	1979	10		Friends and neighbours outreach	
Baptist Theological College	6	1979	11		Women's auxiliary - 46 years	
Missions	6	1979	11		missionary nurses meet - R. Rasey,	G. Chambers - photo
Bundaberg BC	6	1979	12		crowded baptismal service	
Sutton, Rev. B.	6	1979	12		formerly Currajong - now Blackburn North	
Baptist Union of Qld	9	1979	1		decline in growth rate - page 9	
Explo 80	9	1979	1		launching - photo Mr O. Thomas	feature article - page 3 photo Scarlett, Newman
Road deaths	9	1979	2		comment by Social Questions Convenor	J. White
Monto BC	9	1979	3		Jubilee	
Baptist Theological College	9	1979	4		past students meet	
Bill Newman Evangelistic Crusade	9	1979	4		crusade for Ipswich	
Crusade Choir	9	1979	4		notice of ministry	
Quick, Sid	9	1979	5		article on attending the local church	
Knight, Ken and Norma	9	1979	6		to work with TEAM in India - photo	
Leichhardt BC	9	1979	6		church formed	
Gympie BC	9	1979	7		evangelistic crusade with R. Jarrott	
New Settlers Conference	9	1979	7		report on growth of Islam	
South Brisbane Vulture St BC	9	1979	7		Rev J. Dillon inducted	
Holland Park BC	9	1979	8		adds 3rd pastor	
Kingaroy BC	9	1979	8		begins bus ministry - photo	
Abrahams, Rev. N.	9	1979	9		farewell from City Tabernacle	
Care of pastors	9	1979	10		Ministers' Fraternal appoints Fellowship	Secretary for pastoral care of members
Ministry to women	9	1979	10		feature by Mrs Dorothy Maycock	
McAllister, Rev. R.Y.	9	1979	11		obit	
Annerley BC	9	1979	12		114th anniversary - 20th Sunday School	anniversary
Aged Care - Resthaven - Carey Court	12	1979	1		Carey Court opened - photo	
Christian Music Workshop	12	1979	2		notice	
Baptist Union of Qld	12	1979	3		report of Assembly - new union structure	approved and appointments made
Banyo BC	12	1979	4		30th anniversary	
Cairns BC	12	1979	4		building plans	
Gap BC	12	1979	4		Girls' Brigade recommenced	
Martin, Dr Gordon	12	1979	4	Scotland	appointed principal Scotland Baptist	College
Mundubbera BC	12	1979	4		growth	
Renewal	12	1979	4		visit of USA laymen	
Southern Gold Coast BC	12	1979	4		evangelistic crusade with R. Baker	
Sunnybank BC	12	1979	4		development	
Tent Hill BC	12	1979	4		growth	
Wagner, Mr V.J.	12	1979	4		retirement as church secretary - 20 yrs	foundation member
Baptist Bookstore	12	1979	5		report	
Explo 80	12	1979	5		report on progress - photo	
Mt Isa BC	12	1979	5		report on progress	
Cannon Hill BC	12	1979	6		report of growth	
Hervey Bay Torquay BC	12	1979	6		60th anniversary	
Ipswich BC	12	1979	6		120th Anniversary	photo
Kingaroy BC	12	1979	6		ministry to the total person	
Dorr, Miss Marjorie	12	1979	7	Kalbar BC	to work with ABMS in Wewak - photo	
Nicholls, Ruth	12	1979	7		feature on missionary work - photo p 8	
Ambassadors for Christ	12	1979	8		feature - Mr Alan Bartlem	
Video ministry	12	1979	8		feature on Mr Neil Abrahams ministry	
Albion BC	12	1979	9		Churchtime	
Brisbane Valley Toogoolawah BC	12	1979	9		progress	
Stallard, Mr Fred	12	1979	9	Salisbury	dedication as President elect	
Steiler, Mrs Laura	12	1979	9		retirement announced - Baptist Union	office - photo
Aboriginal rights	12	1979	10		letter abuse of rights by police	
Soccer	12	1979	10		report	
Annerley BC	12	1979	11		lay evangelists	
Carey Court	12	1979	11		photo of officials Miller, Smith,	Lockhart
West Rockhampton BC	12	1979	11		building renovations	
Williams, Rev. F.	12	1979	11		concludes at Coorparoo	
Explo 80	3	1980	1		progress report - photo B. Willersdorf	
Poker machines	3	1980	1		report on introduction	
Gap BC	3	1980	2		Ladies Bible study - mission support	
Gympie	3	1980	2		Bible support	
Hickson, Miss Grace Maria	3	1980	3		obit	
Home Ministries	3	1980	3		outreach developments	
Isolated Baptists	3	1980	3	Silkstone	visits to remote areas by G. Jones	
Nanango BC	3	1980	3		growth expected	
Evangelism	3	1980	4		visit of US evangelist R. Post	
Maryborough BC	3	1980	4		ladies craft mornings	
Taylor, Mr Charlie and Laurie	3	1980	4	USA	report on continued activity of	evangelistic team from 1940s
Evangelism - exchange crusade	3	1980	5		visit of Queenslanders to US - photo	
Stone, Mrs Elma	3	1980	5		book of poems - Walking with God	
Enoggera BC	3	1980	6		outreach - Rev. S. Solomon	
Margate BC	3	1980	6		ladies ministry	
Noosa BC	3	1980	6		Men needed	
Martin, Mr and Mrs Jim	3	1980	7		photo - returning ABMS missionaries	
Owen, Rev. and Mrs R.	3	1980	7		photo - returning ABMS missionary	
Baptist Union of Qld	3	1980	8		photo - Superintendents - F. Stone	L. Maycock, R. Conwell
Hewitt, Rev. Peter	3	1980	8	Gordon Park	inducted	
Grange BC	3	1980	9		W. Spann inducted	
Lean, Mr George	3	1980	9	Wavell Heights	obit	
Morgan, Mrs Gwenneth	3	1980	9		obit	nee Ingram - daughter Rev. T.J. Malyon
Baptist Union of Qld	6	1980	1		Dr Leon Morris - Assembly speaker	
Innisfail BC	6	1980	1		family centre opened	
Brett, Ted	6	1980	2		farewelled from Mount Isa	
Baptist Union of Qld	6	1980	3		field ministers inducted D. Kelso,	J. Tanner - photo
Keith, Rev. E.V.	6	1980	3		60 years in ministry	
Leggett, Dr C.	6	1980	3		awarded knighthood	
Peck, Rev G.W.	6	1980	3	USA	appointed to Judson Chair	
Explo 80	6	1980	4		report	
Community Service	6	1980	5		expanding programs - family crisis,	homelessness - photo Rev. C.L. Miller
Banyo BC	6	1980	6		report	
Fairfield BC	6	1980	6		report	
McAdam, Rev George and Mrs	6	1980	6		revisit Rockhampton for 37th anniversary	Senior Girls' Missionary Union
Toowoomba BC	6	1980	6		report	
Lawrence, Mr Bill	6	1980	7		photo - commissioned for ABMS service	
Brigades	6	1980	8		history of the movement published	
Gap BC	6	1980	8		family camp	
Hervey Bay BC	6	1980	8		new methods of evangelism	
South Brisbane Vulture St BC	6	1980	8		Scripture distribution	photo - J. Dillon
City Tabernacle BC	6	1980	9		drop-in ministry	
Vietnamese ministry	6	1980	9		report	
Laidley BC	6	1980	10		extensions to Karinya home - aged care	
Gollan, Mrs Nance	6	1980	11	Community Service Depuationist	involved in car accident	
Southern Gold Coast BC	6	1980	11		farewells Rev. A. Hooker	
Steer, Miss Roslyn	6	1980	11		photo - school captain	
Prisons Mission Assoc	6	1980	12		report of 1st year	
Steck, Mr Don	6	1980	12	Stafford North BC	Haggai Institute operations manager	photo
Baptist Union of Qld - outreach program	7	1980	1		special 4 page issue Outreach programme	promotion
Baptist Union of Qld	9	1980	1		membership growth	
City Tabernacle BC	9	1980	1		125th anniversary	
Stallard, Mr F.W.	9	1980	1		photo - incoming president	
Baptist business	9	1980	2		editorial on prime Baptist focus	
Social Justice	9	1980	2		formation of social justice group	
Toowong BC	9	1980	2		growth in Chinese ministry	
Nanango BC	9	1980	3		help needed to cope with development	photo
Bowen BC	9	1980	4		church building opened	
Bundaberg BC	9	1980	4		35th anniversary	
Deception Bay BC	9	1980	4		15 years of witness - gift of land	
Fairfield BC	9	1980	4		anniversary	
Keith, Rev. E.V.	9	1980	4		60 years in Baptist ministry	
Labrador BC	9	1980	4		church opening	
Moore Park BC	9	1980	4		growth	
Baldwin, Rev. C.D.	9	1980	5		60 years in ministry	
Bird, Mrs  E.	9	1980	5		obit	widow of Rev. J.H. Bird
Hodgson, Gertrude Ann	9	1980	5	Nundah, Clayfield Wynnum	obit	mother of Rev. R. Hodgson
Jarrott, Rev. R.E.	9	1980	5		gains Master's degree	
Kissick, Mr R.	9	1980	5	City Tabernacle Grange	obit	
New Settlers Assoc	9	1980	5		national leader visit Brisbane	
Tweddell, Dorothy	9	1980	5		appointed National Distribution Officer	of Bible Society
Warriner, Rev. T.C.	9	1980	5		50 years in ministry	
Wenn, Rev. R.P.	9	1980	5		gains Master's degree Luther Rice	Seminary
Harrison, Rev. P.	9	1980	6		appointed minister City Tabernacle BC	
Mackay BC	9	1980	6		Rev A. Gordon inducted	
Stafford North BC	9	1980	6		sports services	
Baptist Book Store	9	1980	7		needs to re-locate	
Bradley, Pastor Stuart	9	1980	7		begins Vietnamese ministry - photo	
Keperra BC	9	1980	7		progress and buildings	
Toogoolawah BC	9	1980	7		building plans	
Ashgrove BC	9	1980	8		extra service	
Church growth	9	1980	8		church growth seminar for Brisbane	
Puppet ministry	9	1980	8		puppets used in Caboolture and	Maryborough by P. de Plater
Salisbury BC	9	1980	8		team ministry	
Salisbury BC	9	1980	9		missions conference	
House churches	9	1980	10		Hervey Bay BC visits house churches	in New Zealand
Perkins, Mrs Minnie	9	1980	10		retires as organist after 64 years	nee Minnie Cox
Baptist Union of Qld	9	1980	11		Resource centre planned	
Family Radio	9	1980	11		report and photo	
Stallard, Mr F.W. - President	11	1980	1		Presidential address - Christ centred	
Divorce and Ministry	11	1980	2		editorial on Baptist Union policy on	role of divorced persons in ministry
Australian Baptist Missionary Society	11	1980	3		mission weekend and expansion - photo	
Social Justice Forum	11	1980	3		report on activity	
Aboriginal missions	11	1980	4		report at Ipswich	
Annerley BC	11	1980	4		Life deacons - J. Barrie, R. Riddel	R. Pike - Women's drop-in centre
Beaudesert BC	11	1980	4		growth - expansion to Canungra	
Clontarf BC	11	1980	4		building plans	
Creation Science	11	1980	4	Ipswich	lectures at Discipleship Training Centre	inc. D. Swincer, S. Nickerson
Logo	11	1980	4		announcement of new Baptist logo	
Logo	11	1980	4		new Logo used by QB - Qld Baptist	
West Moreton Baptist Association	11	1980	4		report	
Durward, Rev. G.	11	1980	5		obit	
Kirkwood, Rose Alice	11	1980	5	Gordon Park	obit	
Baptist Union of Qld	11	1980	6		Assembly report	
Bowen BC	11	1980	6		new buidling - photo  Rev. R. Pattemore	
Cairns BC	11	1980	8		new building opened	
Holmans, Rev. W.K.	11	1980	8		60 years in ministry	
Sinfield, Rev. W.M.	11	1980	8		30 years in ministry	
Pan-Australian Baptist Crusade	11	1980	9		plans for Turning Point crusade	evangelistic series
Pastoral training	11	1980	9		adoption of internship schemes	Baptist Theological College
Mount Isa	11	1980	10		report	
Dinmore BC	11	1980	11		program developments	
Elvery, Mr G.	11	1980	11		Bible society appointment -  photo	
Childrens ministry	11	1980	12		article by Rev. J. Tanner	
Conwell, Rev. R.E.	11	1980	12		reports on Spirit moving in Queensland	
Baptist Bible Convention	12	1980	1		convention announced for Brisbane	
Ingham, Mr A.	12	1980	3	City Tabernacle	minute of appreciation for Mens Work	
McClune, Mr J.	12	1980	3		obit	
Accommodation	12	1980	4		accommodation list for Toowoomba	
Carey BC	12	1980	4		report	
Community standards - Television	12	1980	4		protest to Channel 10 by F. Stallard	Baptist Union of Qld
Maryborough BC	12	1980	4		youth and Brigade ministry - visit from	Upper Mt Gravatt
Mundubbera BC	12	1980	4		report	
Baker, Rev. Ron Evangelistic Crusade	12	1980	5	Chinchilla	report of crusade	
Bill Newman Evangelistic Crusade	12	1980	5	Toowoomba	report of crusade	
Christian schools	12	1980	5		schools to open at Dalby Norman Park	using ACE system
Music workshops	12	1980	5	Enoggera	notice John & Noeline O'Hara meetings	
Quick, Rev. Sid	12	1980	6		report on Yuendumu	
Ministers' wives conference	12	1980	7		report by Marjorie Miller	
Monto BC	12	1980	7		youth leadership needed	
Singles ministry	12	1980	7		report on address by D. Swincer to	women
Gayndah BC	12	1980	8		Reg Jarrott evangelistic crusade report	
Wynnum BC	12	1980	8		work party to ABMS PNG - photo	
Rochedale BC	12	1980	9		growth reported	
Baptist Book store	12	1980	10		re-locates and expands	
Carey BC	12	1980	10		outreach - also page 11	
Mt Isa	12	1980	10		ABMS to establish ministry	
Baptist Book Store	3	1981	1		leap in sales - new Queen st location	
Baptist Union of Qld	3	1981	1		W. McConaghy named as prayer convenor	
Disabled people	3	1981	2		assistance	
Vietnamese refugee	3	1981	3		Pastor escapes from Vietname	Rev Nguyen Huu Tin
Turning point Evangelistic Crusades	3	1981	4		report on plans	
Bracken Ridge BC	3	1981	5		report on progress of fellowship	
Counselling ministry	3	1981	5		report on counselling centre at Baptist	Book shop
Mackay BC	3	1981	5		crusade report	
Morris, Dr Leon	3	1981	6		ordination address - photo	
Hancox, Mr P.J.	3	1981	8		denounced as heretic because of book	Honest to Satan
Harrison, Rev. P.	3	1981	9	City Tabernacle	return to church after 30 years	
Laidley BC	3	1981	9		Dunlop nursing home - aged care - photo	
Burpengary BC	3	1981	10		gift of land for church	
Dalby BC	3	1981	10		report of record floods	
Noyes, Rev. C.	3	1981	11	Noosa BC	inducted - photo	
Ollerenshaw, Mr Lloyd	3	1981	11		leaving for Yuendumu	
Jeffries, Dr Gene L.	3	1981	12	USA	appointed  NE Bible College NJ	
Peck, Rev. G.	3	1981	12		Speaker at Baptist Union Assembly	
Resthaven	3	1981	12		buildings named - Frank Stone Court,	McAllister Court, Carey Court
Rockhampton BC	3	1981	12		growth reported	
Stone, Rev. F.J.C.	3	1981	12		retirement announced	
Chaplaincy - University	4	1981	1		report - photo Rev. D. Parker	
Miller, Rev. C.L.	4	1981	1		won Rotary Community Spirit award	
Camp - Currumbin	4	1981	2		sold for $1.25m	
Mens work	4	1981	2		men join world prayer link	
Baptist Book Store	4	1981	3		photo	
Mobile bookshop	4	1981	3		report	
Baptist Bible Convention	4	1981	4		report	
Grange BC	4	1981	4		Bible studies with Baptist Theological	College
Maroochydore BC	4	1981	4		ladies ministry	
QB - Qld Baptist	4	1981	4		returns to monthly publication	new masthead
Stafford North BC	4	1981	4		growth	
Wavell Heights BC	4	1981	4		children's ministry	
Yandina BC	4	1981	4		independent from Nambour BC	
Baptist Theological College	4	1981	5		record enrolment	
Evangelism Explosion	4	1981	5		clinic to be held	
Legge, Mr and Mrs C.W.	4	1981	7		Golden Wedding	
Stone, Rev. F.J.C.	4	1981	7		plans to honour F. Stone upon retirement	
Cairns BC	4	1981	8		new church - photo	
House churches	4	1981	8		feature	
Annerley BC	4	1981	9		Goal setting	
Ashgrove BC	4	1981	9		prayer diary	
Honest to Satan - by P.J. Hancox	4	1981	9		official Baptist Union comment	
Ashgrove BC	4	1981	10		Dr D. Pentecost speaker Second Coming	meetings for church anniversary
Church growth	4	1981	10		article	
Counselling	4	1981	10		photo of Baptist Bookstore counselling	centre
ABMS - Papua New Guinea	5	1981	1		25 years celebration rally - photo	
Camp - Currumbin	5	1981	1		sale of site fails	
Bunyaville BC	5	1981	2		era ends - concluding services in	building
Bindari Lodge	5	1981	4		relocation	
Stott, Rev. J.R.W.	5	1981	4		Visit to Qld	
Honest to Satan - by P.J. Hancox	5	1981	6		Is God a Spirit? response to book by	faculty of Baptist Theological College
Jimboomba BC	5	1981	8		fellowship established	
Gympie BC	5	1981	9		Growth day	
People of God	5	1981	9		Bible study material published	
House churches	5	1981	10		article on method	
Baptist Union of Qld	6	1981	1		President calls for support for	Baptist Union Council meetings - budget weak
Honest to Satan - by P.J. Hancox	6	1981	1		book can be sold but not displayed at	Baptist Book Store - official Baptist Union policy
Disaster appeals	6	1981	2		Baptist Union appeals for Brighton and	Dalby closing
Turning Point - evangelistic crusade	6	1981	3		report - photo -	
Church growth	6	1981	4		letter by P. Law	
Deaf ministries	6	1981	4		report on expansion	
Festival of Light	6	1981	5		speakers visit Qld	
Honest to Satan	6	1981	6		response by P.J. Hancox	
Dart, Mr O.M.	6	1981	7	Taringa	obit	
McEwen, Mrs W.M.	6	1981	7		10 years service in Baptist Union office	
Baptist Union of Qld	6	1981	9		changed method for executive nomination	
Hinton, Miss Debra	6	1981	9	Lawnton	Queens Award - Girls Brigade - photo	
Baptist Theological College	7	1981	1		assembly to appoint new principal	
People of God	7	1981	1		study program	
Stamps for Missions	7	1981	1		Mrs T. Howard's work - photo	
Ashgrove BC	7	1981	3		building changes	
Steley, Ald John	7	1981	3	Margate	Alderman calls for prayer at anniversary	
Ministers' wives conference	7	1981	4		report by Rose Spann	
Social Justice Forum	7	1981	4		report by Rev. R. Bickerton	
Arana Hills BC	7	1981	6		recognized as fellowship	
Evangelistic Crusade	7	1981	6		proposed visit from US	
Tarragindi BC	7	1981	6		25th anniversary	
